thresholdstart:125.11, thresholdend:625.72, # hashes 3, # space: 266664 # cm buckets 22222 - loss 0.0 time: 0.0374147891998291 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 3, # space: 266664 # cm buckets 22222 - loss 0.0 time: 0.030228376388549805 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 3, # space: 266664 # cm buckets 22222 - loss 0.08789679353353674 time: 0.1400282382965088 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 3, # space: 266664 # cm buckets 22222 - loss 8.494838603965263 time: 2.607403516769409 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 4, # space: 266656 # cm buckets 16666 - loss 0 time: 0.02983689308166504 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 4, # space: 266656 # cm buckets 16666 - loss 0.0 time: 0.020795345306396484 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 4, # space: 266656 # cm buckets 16666 - loss 0.0 time: 0.031870365142822266 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 4, # space: 266656 # cm buckets 16666 - loss 0.0 time: 0.03907346725463867 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 4, # space: 266656 # cm buckets 16666 - loss 0.038898702781792555 time: 0.1251659393310547 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 4, # space: 266656 # cm buckets 16666 - loss 11.129786807945091 time: 3.312252998352051 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 333332 # cm buckets 83333 - loss 0 time: 0.03592562675476074 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 1, # space: 333332 # cm buckets 83333 - loss 0.08830396943324136 time: 0.029951810836791992 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 1, # space: 333332 # cm buckets 83333 - loss 0.0 time: 0.025980234146118164 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 1, # space: 333332 # cm buckets 83333 - loss 0.0 time: 0.02274155616760254 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 1, # space: 333332 # cm buckets 83333 - loss 0.5882268972039327 time: 0.09126663208007812 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 1, # space: 333332 # cm buckets 83333 - loss 3.298975003186047 time: 1.7989206314086914 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 2, # space: 333328 # cm buckets 41666 - loss 0 time: 0.03952765464782715 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 2, # space: 333328 # cm buckets 41666 - loss 0.05603905752494163 time: 0.028455257415771484 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 2, # space: 333328 # cm buckets 41666 - loss 0.0 time: 0.02405405044555664 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 2, # space: 333328 # cm buckets 41666 - loss 0.0 time: 0.022507667541503906 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 2, # space: 333328 # cm buckets 41666 - loss 0.14237282086968936 time: 0.08800077438354492 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 2, # space: 333328 # cm buckets 41666 - loss 4.678405884173539 time: 2.414919853210449 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 3, # space: 333324 # cm buckets 27777 - loss 0 time: 0.029303312301635742 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 3, # space: 333324 # cm buckets 27777 - loss 0.0 time: 0.018607616424560547 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 3, # space: 333324 # cm buckets 27777 - loss 0.0 time: 0.03470301628112793 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 3, # space: 333324 # cm buckets 27777 - loss 0.0 time: 0.020688295364379883 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 3, # space: 333324 # cm buckets 27777 - loss 0.04931927270131863 time: 0.11700177192687988 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 3, # space: 333324 # cm buckets 27777 - loss 6.466866932474011 time: 2.747205972671509 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 4, # space: 333328 # cm buckets 20833 - loss 0 time: 0.02544713020324707 sec 
thresholdstart:25.01, thresholdend:125.11, # hashes 4, # space: 333328 # cm buckets 20833 - loss 0.0 time: 0.0298004150390625 sec 
thresholdstart:625.72, thresholdend:3129.53, # hashes 4, # space: 333328 # cm buckets 20833 - loss 0.0 time: 0.018967151641845703 sec 
thresholdstart:125.11, thresholdend:625.72, # hashes 4, # space: 333328 # cm buckets 20833 - loss 0.0 time: 0.032500505447387695 sec 
thresholdstart:5.0, thresholdend:25.01, # hashes 4, # space: 333328 # cm buckets 20833 - loss 0.024570419142444195 time: 0.12630796432495117 sec 
thresholdstart:1.0, thresholdend:5.0, # hashes 4, # space: 333328 # cm buckets 20833 - loss 8.430484097074299 time: 3.0743281841278076 sec 
thresholdstart:0.0, thresholdend:1.0, # hashes 1, # space: 400000 # cm buckets 100000 - loss 0 time: 0.0312650203704834 sec 
